"Name of institution";"Type of institution - 1. Level";"Type of institution - 2. Level";"Type of institution - 3. Level";"Address main location: Street No.";"Address main location: Postal code";"Address main location: City";"Web address";"Count of employees [1]";"Foundation year";Twitter;"Profile text";"Secondary locations";"Keywords [2]"
Akkon-Hochschule;Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Colditzstraße 34-36";12099;Berlin;www.akkon-hochschule.de;;2009;;;;
"Alanus Hochschule";Hochschulen;"Künstlerische Hochschulen";"privat, staatlich anerkannt";"Villestraße 3";53347;Alfter;www.alanus.edu;;1973;;;;
"Albert-Ludwigs-Universität Freiburg im Breisgau";Hochschulen;Universitäten;öffentlich-rechtlich;Fahnenbergplatz;79085;Freiburg;www.uni-freiburg.de;;1457;;;;
"Alemannisches Institut Freiburg im Breisgau e. V.";"Landeseinrichtungen mit FuE-Aufgaben";"Landeseinrichtungen mit FuE-Aufgaben";Baden-Württemberg;"Bertoldstraße 45";79098;Freiburg;www.alemannisches-institut.de;5;1931;;"Das Alemannische Institut Freiburg im Breisgau e. V. ist, zusammen mit seiner Arbeitsgruppe an der Universität Tübingen, eine Vereinigung von Wissenschaftlern und Wissenschaftlern mit dem Zweck, die fächer- und grenzüberschreitende landeskundliche Erforschung des alemannisch-schwäbischen Sprach- und Siedlungsraumes zu fördern. Durch die rund 220 ehrenamtlichen Mitglieder des Instituts sind von der Archäologie bis zur Zeitgeschichte nahezu alle wissenschaftlichen Fachrichtungen vertreten, die zu einer umfassenden und interdisziplinären Landeskunde beitragen können. Alle Projekte sind grundsätzlich interdisziplinär und international (Deutschland, Frankreich, Schweiz, Österreich) angelegt.";Tübingen;"Geowissenschaften und zugehörige (Umwelt-)Wissenschaften, Sozial- und Wirtschaftsgeografie, Geschichte und Archäologie, Sprachen und Literatur, Andere Geisteswissenschaften"
"Alexander von Humboldt-Stiftung";"FuE-unterstützende Organisationen und Einrichtungen";Förderorganisationen;;"Jean-Paul-Straße 12";53173;Bonn;www.humboldt-foundation.de;270;1953;https://twitter.com/https://x.com/AvHStiftung;"Die Alexander von Humboldt-Stiftung fördert Wissenschaftskooperationen zwischen exzellenten ausländischen und deutschen Forscherinnen und Forschern. Sie vergibt jährlich mehr als 800 Stipendien und Preise, ohne Quoten für einzelne Länder oder Disziplinen, und hält den Kontakt zu ihren Alumni ein Leben lang. 1953 von der Bundesrepublik Deutschland gegründet ist die Humboldt-Stiftung als Mittlerorganisation der deutschen Auswärtigen Kultur- und Bildungspolitik bis heute der Verständigung und der wissenschaftlichen Freiheit, Vielfalt und Exzellenz verpflichtet. Ihrem Netzwerk gehören Humboldtianerinnen und Humboldtianer aus mehr als 140 Ländern an – unter ihnen 59 mit Nobelpreis.";Berlin;
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung (AWI)";"Außeruniversitäre Forschungseinrichtungen";Helmholtz-Gemeinschaft;;"Am Handelshafen 12";27570;Bremerhaven;www.awi.de;1384;1980;https://twitter.com/https://x.com/AWI_de;"Als international anerkanntes Kompetenzzentrum der Polar- und Meeresforschung gehört das AWI zu den wenigen wissenschaftlichen Einrichtungen in der Welt, die in Arktis und Antarktis gleichermaßen aktiv sind. Es koordiniert die deutsche Polarforschung, erforscht aber auch die Nordsee und ihre deutschen Küstenregionen. Das AWI untersucht praktisch alle Bereiche des Erdsystems – von der Atmosphäre bis zum Grund der Meere. Darüber hinaus ist die Beratung von Politik und Gesellschaft eine wichtige Aufgabe des Instituts. Somit ist der Bereich Wissens- und Technologietransfer ein wesentlicher Bestandteil der Institutsarbeit.";"Helgoland, List/Sylt, Potsdam, Oldenburg";"Informatik und Informationswissenschaften, Physik, Chemie, Geowissenschaften und zugehörige (Umwelt-)Wissenschaften, Biologie, Andere Naturwissenschaften"
"Alice Salomon Hochschule Berlin";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Alice-Salomon-Platz 5";12627;Berlin;www.ash-berlin.eu;;1971;;;;
"Allensbach Hochschule Konstanz,  staatlich anerkannte Hochschule der European Education Group GmbH";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Lohnerhofstraße 2";78467;Konstanz;www.allensbach-hochschule.de;;1996;;;;
"APOLLON Hochschule der Gesundheitswirtschaft";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Universitätsallee 18";28359;Bremen;www.apollon-hochschule.de;;2005;;;;
"Arbeitsgemeinschaft industrieller Forschungsvereinigungen „Otto von Guericke“ e. V. (AiF e. V.)";"FuE-unterstützende Organisationen und Einrichtungen";Industrieforschungseinrichtungen;;"Bayenthalgürtel 23";50968;Köln;www.aif.de;;1954;https://twitter.com/https://x.com/aifdigital;"Die AiF ist das Netzwerk zur Förderung von Forschung, Transfer und Innovation im und für den Mittelstand. Der enorme Transformationsdruck durch Dekarbonisierung, Kreislaufwirtschaft, Digitalisierung und globale Herausforderungen wie den Klimawandel kann nur unter Nutzung und Aktivierung des Innovationspotenzials der Industrie gemeistert werden. Der innovative Mittelstand hat dabei eine zentrale Rolle. Das Netzwerk der AiF und ihrer Forschungsvereinigungen unterstützt die Innovationskraft insbesondere mittelständischer Unternehmen als Impulsgeber und Kooperationssystem und stärkt damit den Standort Deutschland.";Berlin;
"Archivschule Marburg - Hochschule für Archivwissenschaft";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Bismarckstraße 32";35037;Marburg;www.archivschule.de;;;;;;
"ARL – Akademie für Raumentwicklung in der Leibniz-Gemeinschaft";"Außeruniversitäre Forschungseinrichtungen";Leibniz-Gemeinschaft;;"Vahrenwalder Straße 247";30179;Hannover;www.arl-net.de;42;1946;https://twitter.com/https://x.com/@ARL_Hannover;"Aufgabe der ARL – Akademie für Raumentwicklung in der Leibniz-Gemeinschaft ist die wissensbasierte Analyse und Beratung zu aktuellen Fragen nachhaltiger Raumentwicklung. Komplexe gesellschaftliche Herausforderungen erfordern integrative und damit inter- und transdisziplinäre Perspektiven. Die spezifische Arbeitsweise der ARL – transdisziplinär und netzwerkförmig – ermöglicht das enge Zusammenwirken und den umfassenden Austausch von Wissenschaft und Praxis. Die Forschungs- und Transfertätigkeiten, die das personelle Netzwerk, bestehend aus herausragenden Fachleuten aus der Wissenschaft und Praxis, in den gemeinsamen Arbeitsgremien leistet, halten wichtige Erkenntnisse für die Raumentwicklung und ihre politisch-planerische Gestaltung bereit.";;"Sozial- und Wirtschaftsgeografie"
"Arnold-Bergstraesser-Institut für kulturwissenschaftliche Forschung e. V. (ABI) an der Albert-Ludwigs-Universität Freiburg im Breisgau";"Landeseinrichtungen mit FuE-Aufgaben";"Landeseinrichtungen mit FuE-Aufgaben";Baden-Württemberg;"Windausstraße 16";79110;Freiburg;www.arnold-bergstraesser.de;20;1960;https://twitter.com/https://x.com/@AbiFreiburg;"Das Arnold-Bergstraesser-Institut (ABI) ist in den Bereichen vergleichende Regionalforschung und transregionale Studien eines der bedeutendsten Forschungsinstitute Deutschlands. Als unabhängige, gemeinnützige Forschungseinrichtung ist es ein An-Institut der Universität Freiburg. Die Grundfinanzierung trägt das Land Baden-Württemberg, hinzu kommen eingeworbene Drittmittel. Aktuelle Forschungsthemen sind Governance, Konflikt und Migration.";;"Soziologie, Politikwissenschaften"
"Associação Fraunhofer Portugal Research – Center for Advanced Water, Energy and Resource Management AWAM";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Selbstständige Fraunhofer-Auslandsgesellschaften und deren Center im Ausland";"c/o Universidade de Trás-os-Montes e Alto Douro - Régia Douro Park";5000-033;"Vila Real";www.awam.fraunhofer.pt;13;2019;;"Ziel des Fraunhofer Portugal AWAM ist die Entwicklung und Anwendung innovativer Strategien und Prozesstechnologien zur Schließung regionaler Kreisläufe von Wasser, Energie und Nährstoffen. Daher konzentriert sich das Zentrum auf drei Hauptgeschäftsfelder: Wasser, Energie, Ressourcenmanagement. Die wissenschaftlichen Kompetenzen fokussiert dabei in den Bereichen Entwicklung und Erprobung von Prozessen und Technologien die Anpassung und Testung kundenspezifischer Prozesstechnologien im Labormaßstab. Im Bereich Systemintegration und Maßstabsvergrößerung liegen die wissenschaftlichen Schwerpunkte auf Konzeption, Design und Bau von Prototypen und Systemen sowie deren Implementierung zur Erprobung neuer Ideen unter praxisnahen Bedingungen.";Évora;"Physik, Chemie, Andere Naturwissenschaften, Chemische Verfahrenstechnik, Werkstofftechnik, Umwelttechnik, Umweltbiotechnologie"
"Associação Fraunhofer Portugal Research – Center for Assistive Information and Communication Solutions AICOS";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Selbstständige Fraunhofer-Auslandsgesellschaften und deren Center im Ausland";"Rua Alfredo Allen 455/461";4200-135;Porto;www.aicos.fraunhofer.pt;119;2009;https://twitter.com/https://x.com/@FhP_AICOS;"Fraunhofer AICOS ist ein Forschungszentrum von Fraunhofer Portugal, das innovative Technologien entwickelt und seine Kunden aktiv bei der Integration der Technologien in die Industriepraxis unterstützt. Das Institut kombiniert Expertise im Bereich Human Centered Design und Cyber-Physical Systems mit einem speziellen Fokus auf Algorithmen und Datenverarbeitung, die Vorteile für die Kunden und Partner bringen. AICOS zeichnet sich insbesondere durch Know-how in den Bereichen Künstliche Intelligenz, universelle und dezentrale Technologien und Dienstleistungen aus.";Lissabon;
"Augustana-Hochschule Neuendettelsau";Hochschulen;Universitäten;"kirchlich, staatlich anerkannt";"Waldstraße 11";91564;Neuendettelsau;www.augustana.de;;1947;;;;
"Bard College Berlin, A Liberal Arts University";Hochschulen;Universitäten;"privat, staatlich anerkannt";"Platanenstrasse 24";13156;Berlin;www.berlin.bard.edu;;1999;;;;
"Barenboim-Said Akademie";Hochschulen;"Künstlerische Hochschulen";"privat, staatlich anerkannt";"Französische Straße 33D";10117;Berlin;www.barenboimsaid.de;;2016;;;;
"Barkhausen Institut gGmbH";"Landeseinrichtungen mit FuE-Aufgaben";"Landeseinrichtungen mit FuE-Aufgaben";Sachsen;"Würzburger Straße 46";01187;Dresden;www.barkhauseninstitut.org;67;2017;;"Das Barkhausen Institut ist eine unabhängige Forschungseinrichtung in Dresden, welche eng mit der Technischen Universität Dresden zusammenarbeitet und sich auf die Kernfelder des Internets der Dinge (Internet of Things – IoT) konzentriert. Das Institut betreibt anwendungsorientierte Grundlagenforschung mit einem Zeithorizont von fünf bis zehn Jahren vor Markteinführung. Als Innovationszentrum für IoT-Technologien ist es Ansprechpartner für die lokale und globale Industrie. Darüber hinaus legt das Barkhausen Institut besonderen Wert auf die Kommunikation der Forschungsergebnisse und der Forschungsmethoden. Der Diskurs mit der Bevölkerung über technologische Entwicklungen ist Teil des Arbeitsalltags aller Forschenden.";Dresden;"Informatik und Informationswissenschaften, Elektrotechnik, Elektronik, Informationstechnik"
"Bauhaus Luftfahrt e. V.";"Landeseinrichtungen mit FuE-Aufgaben";"Landeseinrichtungen mit FuE-Aufgaben";Bayern;"Willy-Messerschmitt-Straße 1";82024;Taufkirchen;www.bauhaus-luftfahrt.net;50;2005;;"Was treibt die Mobilität von morgen? Welche alternativen Energieoptionen werden langfristig für die Luftfahrt zur Verfügung stehen? Welche Antriebs- und Systemtechnologien werden die Effizienz zukünftiger Flugzeugentwürfe weiter verbessern? Und werden diese zu vollständig neuen Designs führen? Welchen Einfluss werden Informationstechnologien auf zukünftige Produkte und deren Entwicklungsprozesse haben? Entlang dieser und weiterer Fragestellungen analysiert das Bauhaus Luftfahrt als Forschungseinrichtung wesentliche Treiber, neue technologische Ansätze sowie innovative Ideen und integriert diese in ganzheitliche Lösungen für die Luftfahrt.";;"Informatik und Informationswissenschaften, Physik, Chemie, Geowissenschaften und zugehörige (Umwelt-)Wissenschaften, Maschinenbau, Chemische Verfahrenstechnik, Werkstofftechnik, Andere Ingenieurwissenschaften und Technologien, Psychologie und Kognitionswissenschaft, Volks- und Betriebswirtschaftslehre, Sozial- und Wirtschaftsgeografie"
"Bauhaus-Universität Weimar";Hochschulen;Universitäten;öffentlich-rechtlich;"Geschwister-Scholl-Straße 8";99423;Weimar;www.uni-weimar.de;;1860;;;;
"Bayerische Akademie der Wissenschaften";"FuE-unterstützende Organisationen und Einrichtungen";Akademien;;"Alfons-Goppel-Straße 11";80539;München;www.badw.de;;1759;https://twitter.com/https://x.com/badw_muenchen;"Die Bayerische Akademie der Wissenschaften (BAdW) ist die größte der deutschen Landesakademien. Sie betreibt innovative Grundlagenforschung in Geistes- und Sozialwissenschaften sowie Natur- und Technikwissenschaften, vernetzt exzellente Forscherinnen und Forscher über Fach- und Ländergrenzen hinweg, wirkt mit ihrer wissenschaftlichen Expertise in Politik und Gesellschaft hinein, fördert im Jungen Kolleg den wissenschaftlichen Nachwuchs und ist ein Forum für den Dialog zwischen Wissenschaft und Öffentlichkeit. Zur BAdW gehören auch das Leibniz-Rechenzentrum, eines der größten Supercomputing-Zentren Deutschlands, das Bayerische Forschungsinstitut für Digitale Transformation und das Walther-Meißner-Institut für Tieftemperaturforschung.";"Garching, München";
"Bayerische Landesanstalt für Landwirtschaft (LfL)";"Landeseinrichtungen mit FuE-Aufgaben";"Landeseinrichtungen mit FuE-Aufgaben";Bayern;"Vöttinger Straße 38";85354;Freising;www.lfl.bayern.de;"ca. 1000";2003;;"Die Bayerische Landesanstalt für Landwirtschaft (LfL) ist das Wissens- und Dienstleistungszentrum für die Landwirtschaft in Bayern. Die anwendungsorientierte Forschung der LfL greift Fragestellungen aus der Praxis auf und stellt den landwirtschaftlichen Unternehmen auf verschiedenen Wegen anwendbare Lösungen zur Verfügung. Das Spektrum reicht bis in die Ernährung. Der Hoheitsvollzug, die berufliche Bildung in Agrarberufen sowie die Beratung runden das Angebot ab und machen die LfL zu einem wichtigen Partner der bayerischen Land- und Ernährungswirtschaft.";"Poing - Grub, Starnberg, München, Ruhstorf a.d. Rott";"Land- und Forstwirtschaft, Fischerei, Tierzucht sowie Milch- und Molkereiwissenschaft, Agrarbiotechnologie, Andere Agrarwissenschaften"
"Bayerische Landesanstalt für Wald und Forstwirtschaft (LWF)";"Landeseinrichtungen mit FuE-Aufgaben";"Landeseinrichtungen mit FuE-Aufgaben";Bayern;"Hans-Carl-von-Carlowitz-Platz 1";85354;Freising;www.lwf.bayern.de;205;1881;;"Die LWF unterstützt als Ressortforschungseinrichtung die Bayerische Forstverwaltung. Unsere Forschungsteams bestehen aus Forstleuten mit wissenschaftlicher Ausbildung, erfahrenen Praktikerinnen und Praktikern aus der Forstwirtschaft und Spezialistinnen und Spezialisten anderer Fachrichtungen. Wir betreiben ein bayernweites Monitoring und liefern ein umfassendes Bild vom Zustand des Ökosystems Wald. Die Forschungsergebnisse werden der praktischen Waldbewirtschaftung zur Verfügung gestellt. Wir entwickeln Empfehlungen für eine nachhaltige Waldbewirtschaftung, Konzepte für effizientes Schutzwald- und Wildtiermanagement und zum Erhalt und zur Förderung der Biodiversität sowie Strategien zum Boden- und Wasserschutz. Unser Wissen wird in Veröffentlichungen weitergegeben.";;"Land- und Forstwirtschaft, Fischerei"
"Bayerische Landesanstalt für Weinbau und Gartenbau (LWG)";"Landeseinrichtungen mit FuE-Aufgaben";"Landeseinrichtungen mit FuE-Aufgaben";Bayern;"An der Steige 15";97209;Veitshöchheim;www.lwg.bayern.de;300;1902;;"Wir, die Bayerische Landesanstalt für Weinbau und Gartenbau, arbeiten schon heute an den Herausforderungen von morgen und unterstützen mit unserer Arbeit nicht nur die bayerischen Winzer, Gärtner und Imker. Wir leisten mit einer praxisorientierten Forschungsarbeit und der Weitergabe von Wissen einen Beitrag zum Leben im Einklang mit der Natur. Davon profitieren alle Bürgerinnen und Bürger – in Bayern und auch über die Landesgrenzen hinaus. Die jährlich mehr als 160 laufenden Forschungsprojekte und Versuchsreihen haben das Ziel, unsere Vision vom Einklang „Mensch und Natur“ in die Realität umzusetzen. Die Ergebnisse fließen nicht nur in die Praxis, sondern auch in den Unterricht der Staatlichen Meister- und Technikerschule ein.";"Thüngersheim, Bamberg";"Geowissenschaften und zugehörige (Umwelt-)Wissenschaften, Umwelttechnik, Umweltbiotechnologie, Land- und Forstwirtschaft, Fischerei, Agrarbiotechnologie, Andere Agrarwissenschaften"
"Bayerisches Amt für Waldgenetik, AWG";"Landeseinrichtungen mit FuE-Aufgaben";"Landeseinrichtungen mit FuE-Aufgaben";Bayern;"Forstamtsplatz 1";83317;Teisendorf;www.awg.bayern.de;40;1964;;"Das Bayerische Amt für Waldgenetik (AWG) ist Teil der Bayerischen Forstverwaltung. Es kümmert sich um die Erhaltung und Verbesserung der Genressourcen unserer Wälder. Klimarobuste Baumarten und Herkünfte werden untersucht und den Waldbesitzenden empfohlen, das ist von großer Bedeutung für eine naturnahe und nachhaltige Forstwirtschaft. Hoheitliche Aufgaben nach dem Forstvermehrungsgutgesetz (FoVG), Feldversuche, laborgenetische Forschung, Saatgutprüfung und Generhaltungsprogramme sind die wichtigsten Tätigkeitsbereiche. Das AWG ist national und international vernetzt. Das AWG unterstützt private Initiativen zur Herkunftssicherung. Es ist tätig in der Aus- und Fortbildung für Studierende, Stipendiatinnen und Stipendiaten, Forstleute und Waldbesitzende.";;"Biologie, Andere Naturwissenschaften, Land- und Forstwirtschaft, Fischerei, Agrarbiotechnologie"
"Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL)";"Landeseinrichtungen mit FuE-Aufgaben";"Landeseinrichtungen mit FuE-Aufgaben";Bayern;"Eggenreuther Weg 43";91058;Erlangen;www.lgl.bayern.de;"ca. 1500";2002;;"Das Bayerische Landesamt für Gesundheit und Lebensmittelsicherheit (LGL) ist die zentrale Fachbehörde des Freistaats Bayern für Lebensmittelsicherheit, Gesundheit, Veterinärwesen und Arbeitsschutz/Produktsicherheit. Als interdisziplinäre, wissenschaftliche Fachbehörde verfolgt das LGL stets den „One-Health-Ansatz“ – denn nur gesunde Tiere liefern gesunde Lebensmittel, und nur eine gesunde Umwelt ermöglicht körperliches, geistiges und soziales Wohlergehen. Daher sind am LGL verschiedene Fachgebiete bewusst unter einem Dach vereint. Die Mitarbeitenden kommen z. B. aus der Lebensmittelchemie, Human- und Veterinärmedizin oder aus verschiedenen Ingenieurswissenschaften und arbeiten gemeinsam über die Fachgrenzen hinweg.";"Oberschleißheim, München, Würzburg, Nürnberg, Memmingen, Bad Kissingen, Gemünden am Main, Bamberg";"Physik, Chemie, Biologie, Andere Naturwissenschaften, Umweltbiotechnologie, Nanotechnologie, Andere Ingenieurwissenschaften und Technologien, Gesundheitswissenschaften, Andere medizinische Wissenschaften, Veterinärmedizin, Andere Agrarwissenschaften, Psychologie und Kognitionswissenschaft"
"Bayerisches Staatsinstitut für Hochschulforschung und Hochschulplanung (IHF)";"Landeseinrichtungen mit FuE-Aufgaben";"Landeseinrichtungen mit FuE-Aufgaben";Bayern;"Lazarettstraße 67";80636;München;www.ihf.bayern.de;18;1973;;"Das IHF ist eine wissenschaftliche Einrichtung des Freistaates Bayern und betreibt anwendungsorientierte empirische Hochschulforschung. Das IHF ist auf der einen Seite Teil der Scientific Community und bringt die Ergebnisse seiner Forschung in den nationalen und internationalen wissenschaftlichen Diskurs ein. Auf der anderen Seite unterstützt es mit seinen Daten und Analysen die Wissenschaftsadministration und die Hochschulen in ihrem Gestaltungsauftrag. Es stellt sich der Herausforderung, anwendungs- und problemorientierte Forschung von praktischer Relevanz mit einer an nationalen und internationalen Maßstäben orientierten Forschung zu verbinden und dabei internationale Standards der Methodenentwicklung zu berücksichtigen.";;"Volks- und Betriebswirtschaftslehre, Soziologie, Andere Sozialwissenschaften"
"bbw Hochschule";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Leibnizstraße 11-13";10625;Berlin;www.bbw-hochschule.de;;2007;;;;
"Bergische Universität Wuppertal";Hochschulen;Universitäten;öffentlich-rechtlich;"Gaußstraße 20";42119;Wuppertal;www.uni-wuppertal.de;;1972;;;;
"Berlin International University of Applied Sciences";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Salzufer 6";10587;Berlin;www.berlin-international.de;;2014;;;;
"Berlin-Brandenburgische Akademie der Wissenschaften";"FuE-unterstützende Organisationen und Einrichtungen";Akademien;;"Jägerstraße 22/23";10117;Berlin;www.bbaw.de;;;https://twitter.com/https://x.com/bbaw_de;"Die Berlin-Brandenburgische Akademie der Wissenschaften ist eine Fach- und Ländergrenzen überschreitende Vereinigung herausragender Wissenschaftlerinnen und Wissenschaftler mit über 300-jähriger Tradition. 82 Nobelpreisträgerinnen und Nobelpreisträger prägen ihre Geschichte. Als größte außeruniversitäre geisteswissenschaftliche Forschungseinrichtung in der Region Berlin-Brandenburg sichert und erschließt sie kulturelles Erbe, forscht und berät zu gesellschaftlichen Zukunftsfragen und bietet ein Forum für den Dialog zwischen Wissenschaft und Öffentlichkeit. Sie ist an der Politikberatung der Nationalakademie beteiligt und gemeinsam mit der Leopoldina Trägerin der Jungen Akademie.";"Potsdam, Berlin";
"Berliner Hochschule für Technik";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Luxemburger Str. 10";13353;Berlin;www.bht-berlin.de;;1971;;;;
